target,MAE,RMSE,Accuracy,Precision,Recall,F1,AUC,Threshold
t_min_c,1.512585133366539,1.9081967174980736,,,,,,
t_max_c,1.554995810994392,2.0089844769868686,,,,,,
t_avg_c,1.3201978256701759,1.7167788456617672,,,,,,
humidity_avg_pct,7.7868876809262115,9.524810857371365,,,,,,
rain (cls),,,0.8301369863013699,0.3055555555555556,0.6470588235294118,0.41509433962264153,0.8349031455482495,0.7
