date,t_min_c_pred,t_max_c_pred,t_avg_c_pred,humidity_avg_pct_pred,rain_probability,rain_predicted
2024-01-01,22.714259024208257,30.196652816609966,26.456863194185434,59.788903107689016,0.08879932029471171,Sunny
2024-01-02,23.718245963635173,30.66746103039814,26.85581747579102,60.96119431476213,0.0926381199908634,Sunny
2024-01-03,24.13421310373758,30.956406356243445,28.572154339827375,63.807541983997204,0.09185402953537382,Sunny
2024-01-04,24.147667940255083,31.087143951918815,28.904719399511617,64.52357971335674,0.10744608619904772,Sunny
2024-01-05,24.415782948792952,31.35407507017258,28.94303163844548,64.51270653413816,0.11595204922526148,Sunny
2024-01-06,24.415782948792952,31.538328084935113,28.670110735835916,64.51270653413816,0.11595204922526148,Sunny
2024-01-07,24.837249592098228,33.303148540432424,28.762457668237815,65.25019441702622,0.11595204922526148,Sunny
2024-01-08,24.837249592098228,33.340216944247146,28.69994962125604,63.356298659692264,0.11595204922526148,Sunny
2024-01-09,24.701171583355308,32.85298733458135,28.708882053650925,62.81433094307319,0.11595204922526148,Sunny
2024-01-10,24.448955024158437,32.248401026770935,28.009845764068412,61.27380755674745,0.09429230879601833,Sunny
2024-01-11,24.448955024158437,31.86625044461981,27.867156639528403,61.85167975502916,0.05199671616907007,Sunny
2024-01-12,24.093699800234386,31.802035476926463,27.895450431028614,62.00355488596437,0.057924779186815226,Sunny
2024-01-13,24.01344317016865,31.802035476926463,27.895450431028614,61.89748991194891,0.057924779186815226,Sunny
2024-01-14,24.01344317016865,31.920981332458865,27.895450431028614,61.3196177136672,0.057924779186815226,Sunny
2024-01-15,24.11445998417072,32.95813101789267,28.11656535050519,61.3196177136672,0.057924779186815226,Sunny
2024-01-16,24.143708897673672,32.969076360802475,28.06876121102593,65.04448960312584,0.07189371293783911,Sunny
2024-01-17,24.143708897673672,32.969076360802475,28.06876121102593,64.86357863469776,0.07189371293783911,Sunny
2024-01-18,24.181659716488195,32.26260939480693,27.675047813503202,64.62746203658891,0.05638167786843229,Sunny
2024-01-19,25.4431819157529,30.891920761753823,27.705281058342717,62.27824935357881,0.04830737767028674,Sunny
2024-01-20,24.31022221845795,32.08008496878561,28.506435386925784,64.94520158246551,0.05638167786843229,Sunny
2024-01-21,24.31022221845795,32.14690480294387,28.392695694828312,64.94520158246551,0.05638167786843229,Sunny
2024-01-22,24.31022221845795,32.14690480294387,28.392695694828312,64.94520158246551,0.05638167786843229,Sunny
2024-01-23,24.82264988438921,32.67713832946301,28.438485260239748,66.96379236236207,0.07322932348740814,Sunny
2024-01-24,24.320689444742722,33.13675748126782,29.207423136215805,67.17330489806149,0.07322932348740814,Sunny
2024-01-25,24.53458386290221,33.13675748126782,29.28880130659807,67.75348535521871,0.07322932348740814,Sunny
2024-01-26,24.53458386290221,33.13675748126782,29.28880130659807,66.49964610523728,0.07322932348740814,Sunny
2024-01-27,24.53458386290221,33.11082584259302,29.191222803880102,66.03495849228729,0.05638167786843229,Sunny
2024-01-28,24.488436920165768,33.3647192127598,29.257963548849116,65.45708629400558,0.05638167786843229,Sunny
2024-01-29,24.807327575771463,33.313163078448135,29.402145231990225,64.03832592616774,0.05060305423670915,Sunny
2024-01-30,24.943405584514384,33.313163078448135,29.402145231990225,63.84813331610205,0.05060305423670915,Sunny
2024-01-31,24.989552527250826,33.21128242026299,29.320381753156532,64.42600551438377,0.05060305423670915,Sunny
2024-02-01,24.312198581057388,33.20409508999427,29.262799243886224,63.14421384386644,0.035023827512037205,Sunny
2024-02-02,24.312198581057388,33.20409508999427,29.262799243886224,63.14421384386644,0.035023827512037205,Sunny
2024-02-03,24.312198581057388,33.20409508999427,29.262799243886224,63.14421384386644,0.035023827512037205,Sunny
2024-02-04,24.445956920698684,33.20409508999427,29.113380957309666,63.14421384386644,0.035023827512037205,Sunny
2024-02-05,24.240821225122804,33.62078997536967,28.672249733522197,63.14421384386644,0.035023827512037205,Sunny
2024-02-06,24.406713949554106,33.66973807088798,29.0520959957167,64.24131891925482,0.04064085298541837,Sunny
2024-02-07,24.406713949554106,33.66973807088798,29.067443641661175,64.43151152932052,0.04064085298541837,Sunny
2024-02-08,24.168079924014148,33.747846785520544,29.095737433161386,66.19555409671847,0.045336166526666465,Sunny
2024-02-09,24.168079924014148,33.747846785520544,29.095737433161386,65.61768189843676,0.045336166526666465,Sunny
2024-02-10,24.168079924014148,33.80450653693022,29.089908674454044,65.61768189843676,0.045336166526666465,Sunny
2024-02-11,24.168079924014148,33.813538562117316,29.089908674454044,65.61768189843676,0.045336166526666465,Sunny
2024-02-12,24.127244328754696,33.62826571840842,28.84660605535772,64.38601081377885,0.043363819722460464,Sunny
2024-02-13,24.398060724563674,33.62826571840842,28.84660605535772,64.38601081377885,0.043363819722460464,Sunny
2024-02-14,24.715367003250762,34.160362297330074,29.229616483217573,65.63754235162158,0.042988826564508545,Sunny
2024-02-15,24.715367003250762,34.160362297330074,29.229616483217573,65.63754235162158,0.042988826564508545,Sunny
2024-02-16,24.571384604314098,34.100528087923955,29.133607726937324,64.62055501588745,0.043363819722460464,Sunny
2024-02-17,24.571384604314098,34.100528087923955,29.133607726937324,64.62055501588745,0.043363819722460464,Sunny
2024-02-18,24.571384604314098,34.100528087923955,29.133607726937324,64.62055501588745,0.043363819722460464,Sunny
2024-02-19,24.571384604314098,33.73840778567506,29.043595148594942,64.62055501588745,0.043363819722460464,Sunny
2024-02-20,24.571384604314098,33.73840778567506,29.043595148594942,64.62055501588745,0.043363819722460464,Sunny
