target,MAE,RMSE,Accuracy,Precision,Recall,F1,AUC,Threshold
t_min_c,1.5436482224268782,1.9495341351417361,,,,,,
t_max_c,1.5455907789713976,1.9962684997125182,,,,,,
t_avg_c,1.3329309301961945,1.729513250919685,,,,,,
humidity_avg_pct,7.767251189330195,9.63536086902811,,,,,,
rain (cls),,,0.7780821917808219,0.2761904761904762,0.8529411764705882,0.4172661870503597,0.8449440199040341,0.6399999999999999
