iter,train_deviance
1,1.3594855306108171
2,1.3352636594434644
3,1.313276977257971
4,1.2932022621877763
5,1.2748938700704098
6,1.2581356516664763
7,1.2427836023272651
8,1.2287004975715963
9,1.215785359790441
10,1.2039185176896472
11,1.192957638228779
12,1.1814371908457786
13,1.1708970205287121
14,1.1621885903950766
15,1.153049120289898
16,1.145395664457862
17,1.13741773505314
18,1.1307261323789215
19,1.1237244438437641
20,1.1178941616098994
21,1.1117531023915035
22,1.1059890347136747
23,1.1010888169026514
24,1.095763970468529
25,1.091068630465866
26,1.0870166269616997
27,1.0827048400157173
28,1.0790865154765035
29,1.0750968453976555
30,1.071617914586415
31,1.068495399933993
32,1.0653692067482992
33,1.0626226169429747
34,1.0596795354652184
35,1.0570092359804972
36,1.0538344622932732
37,1.051371934303714
38,1.049106385994071
39,1.0460334922912775
40,1.0432279387496561
41,1.0411294877442905
42,1.0389646838748408
43,1.0365244922749257
44,1.033670700063143
45,1.0320050127689187
46,1.0301964426037185
47,1.0280800349260506
48,1.026502173499902
49,1.0240449824022173
50,1.0225436508891637
51,1.0204152961690305
52,1.0182325623374417
53,1.0164309131316638
54,1.015518064843155
55,1.0142546409114732
56,1.012334371863553
57,1.0116103711623081
58,1.0101248766384057
59,1.0084927195576139
60,1.0075993404613068
61,1.006289234344865
62,1.0048814679024842
63,1.004088668615487
64,1.0025098038347104
65,1.0018696186094784
66,1.001166899585669
67,1.000373716949181
68,0.9988767207442741
69,0.9976697136023592
70,0.9971316550866072
71,0.9965983087661121
72,0.9959760842449594
73,0.9945504378425324
74,0.9933622513131287
75,0.9928515204193089
76,0.9915999285191447
77,0.9910293221802795
78,0.9897269446331297
79,0.989314564618656
80,0.9875827827763102
81,0.9866962587034479
82,0.9862489674562448
83,0.9853818408384788
84,0.9840736728262381
85,0.9835423059002919
86,0.9827620398903978
87,0.982229854344929
88,0.9814423362114609
89,0.9799051523142683
90,0.9791759086770482
91,0.9787810870502465
92,0.9776076741058386
93,0.9772077624577077
94,0.9760207747236634
95,0.9745220665720468
96,0.9730352792254932
97,0.9725038373574264
98,0.9721735117890384
99,0.9715511008774638
100,0.9703722007986701
101,0.9700147103587791
102,0.9693927328060854
103,0.9680952473229805
104,0.9676054294852159
105,0.9672935397300659
106,0.9669671788674357
107,0.9663326879693397
108,0.9654555607741431
109,0.9648925169922036
110,0.9641375179089862
111,0.963013796465471
112,0.9620296234417761
113,0.961611256455019
114,0.9607500962083488
115,0.9595715253476342
116,0.9583017112860395
117,0.9580354616387576
118,0.9576265336645122
119,0.9570828016694408
120,0.9567944136440506
121,0.9559747891385824
122,0.9557097424376824
123,0.9551995634396393
124,0.9543639401540172
125,0.9532208091263528
126,0.9528383218570781
127,0.9517342038757606
128,0.9512513088329871
129,0.9504809150866744
130,0.9494420248560305
131,0.9491772365770217
132,0.9489416633929761
133,0.9484619609009344
134,0.9480819441931083
135,0.9469851790622796
136,0.9466360661103357
137,0.9461045030358574
138,0.9453578079735792
139,0.9449221888771181
140,0.9439952351786502
141,0.943311850971774
142,0.9428456143968978
143,0.9418214301191389
144,0.9411566847339741
145,0.9407311397710291
146,0.9402683261789812
147,0.9398393767042241
148,0.9388523387485106
149,0.9380997335912823
150,0.9375344069725648
