N,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,MSE,RMSE
30,0,30,0,0,1.0,0.0,0.0,0.0,0.0,0.0
365,29,255,76,5,0.7780821917808219,0.2761904761904762,0.8529411764705882,0.4172661870503597,0.2219178082191781,0.4710815303311923
100,10,72,17,1,0.82,0.37037037037037035,0.9090909090909091,0.5263157894736842,0.18,0.4242640687119285
